PID,Title,Link,owner,Comments
,Fix 110/119 can not be dialed out in locked screen,http://review.sonyericsson.net/#/c/1282165,platform/packages/services/Telecomm
,FP15138 CallRecording - On Off setting for Call recording feature.,http://review.sonyericsson.net/#/c/1079159,platform/frameworks/base
,FIX for GSMA TS27,http://review.sonyericsson.net/#/c/1265389,platform/packages/services/Telephony
,The number of remaining attempts not displayed,http://review.sonyericsson.net/#/c/1258861,platform/packages/services/Telephony
,Mobile networks display grey with SIM card on ComsosSS,http://review.sonyericsson.net/#/c/1247775,platform/packages/services/Telephony
,Mobile networks should display grey without SIM card,http://review.sonyericsson.net/#/c/1241512,platform/packages/services/Telephony
,phone number changed to Unknown in calllog,http://review.sonyericsson.net/#/c/1212214,platform/packages/services/Telephony
,Notification sound shouldn't be heard after send USSD failed.,http://review.sonyericsson.net/#/c/1176375,platform/packages/services/Telephony
,[TUL.FC][Phone]remove message required by operator,http://review.sonyericsson.net/#/c/1191326,platform/packages/services/Telephony
,Fix bug for PTCRB certification,http://review.sonyericsson.net/#/c/1181736,platform/packages/services/Telephony
11525,Modify PIN/PUK MMI code handling in multi sim,http://review.sonyericsson.net/#/c/1180889,platform/packages/services/Telephony
,Fix call settings UI issue,http://review.sonyericsson.net/#/c/1176115,platform/packages/services/Telephony
,[TUL.FC][Phone]remove message required by operator,http://review.sonyericsson.net/#/c/1168259,platform/packages/services/Telephony
,Call Barring's options don't display gray when activated FDN,http://review.sonyericsson.net/#/c/1166393,platform/packages/services/Telephony
,While flight mode on it take too long time to establish ECC,http://review.sonyericsson.net/#/c/1166774,platform/packages/services/Telephony
,"Remove extra String ""Attempts remaining:""",http://review.sonyericsson.net/#/c/1157941,platform/packages/services/Telephony
,FP12456 Allow to force upgrade to LTE for DS,http://review.sonyericsson.net/#/c/1151455,platform/packages/services/Telephony
,Use new string label,http://review.sonyericsson.net/#/c/1124608,platform/packages/services/Telephony
,Remove MagiConference from CallSetting,http://review.sonyericsson.net/#/c/1124468,platform/packages/services/Telephony
10676,DSDS requirement: Change call forwarding,http://review.sonyericsson.net/#/c/1122555,platform/packages/services/Telephony
,Merge remote-tracking branch 'remotes/origin/odm/arima/android/l-chambal-cosmos-somc' into rebaseMain,http://review.sonyericsson.net/#/c/1108460,platform/packages/services/Telephony
,Add strings,http://review.sonyericsson.net/#/c/1107544,platform/packages/services/Telephony
,Remove MTK original translation,http://review.sonyericsson.net/#/c/1096750,platform/packages/services/Telephony
,Remove MTK strings,http://review.sonyericsson.net/#/c/1093969,platform/packages/services/Telephony
10972,Search in Settings - Telephony update,http://review.sonyericsson.net/#/c/1090482,platform/packages/services/Telephony
10237,Selection mode doesn't become auto from manual automatically,http://review.sonyericsson.net/#/c/1082556,platform/packages/services/Telephony
8374,Toggle data connection when FDN is enabled,http://review.sonyericsson.net/#/c/1075192,platform/packages/services/Telephony
9209,Change PhoneAlertDialog background color,http://review.sonyericsson.net/#/c/1088671,platform/packages/services/Telephony
10932,Update telephony UI resource w1502.2,http://review.sonyericsson.net/#/c/1088661,platform/packages/services/Telephony
9218,Phone number should be displayed in normal order in Arabic,http://review.sonyericsson.net/#/c/1082825,platform/packages/services/Telephony
10194,Delete the duplication string id,http://review.sonyericsson.net/#/c/1082688,platform/packages/services/Telephony
8978,Customization of networks searching,http://review.sonyericsson.net/#/c/1082469,platform/packages/services/Telephony
11007,Fix to UI hanging for Call Waiting setting.,http://review.sonyericsson.net/#/c/1081669,platform/packages/services/Telephony
11615,"Start ""Data Usage"" for ""Mobile data"" notificaiton",http://review.sonyericsson.net/#/c/1081617,platform/packages/services/Telephony
8500,FP6039 Extended call failed string,http://review.sonyericsson.net/#/c/1071094,platform/packages/services/Telephony
8521,Close the gap from OSS (data roaming),http://review.sonyericsson.net/#/c/1078369,platform/packages/services/Telephony
10194,[FP18535] Disable data traffic in 2G only network mode,http://review.sonyericsson.net/#/c/1078368,platform/packages/services/Telephony
8829,Bringup of Notification icon for Mobie data setting,http://review.sonyericsson.net/#/c/1066737,platform/packages/services/Telephony
7391,FP15138 CallRecording - Call setting implementation for Call Recorder,http://review.sonyericsson.net/#/c/1079325,platform/packages/services/Telephony
10932,Update drawable resources for W49.3,http://review.sonyericsson.net/#/c/1080503,platform/packages/services/Telephony
10289,coverity and findbugs correction for the TeleService project(For PID8915),http://review.sonyericsson.net/#/c/1080437,platform/packages/services/Telephony
,Comment out code for increasing ringtone,http://review.sonyericsson.net/#/c/1077939,platform/packages/services/Telephony
9160,Normal UI(CallSettings),http://review.sonyericsson.net/#/c/1073988,platform/packages/services/Telephony
11260,AID should not be shown in user variant,http://review.sonyericsson.net/#/c/1075311,platform/packages/services/Telephony
8971,Dial FDN number from FDN list directly.,http://review.sonyericsson.net/#/c/1068920,platform/packages/services/Telephony
8975,Don't bar the call even if the state is out of service,http://review.sonyericsson.net/#/c/1066849,platform/packages/services/Telephony
