11778,Added USSD/SS error handling,http://review.sonyericsson.net/#/c/1106813
11751,Unable to hang up emergency call when flight mode is ON,http://review.sonyericsson.net/#/c/1106758
12147,Remove '0' for '+' when user presses the key in Emergency Dialer,http://review.sonyericsson.net/#/c/1106824
10932,Fix for additional Keyboard on EmergencyDialer screen,http://review.sonyericsson.net/#/c/1106750
10932,Update themes for settings of Telephony app,http://review.sonyericsson.net/#/c/1088714
11205,Phone crash happened while making emergency calls in guest mode,http://review.sonyericsson.net/#/c/1081667
,The Equalizer display wrong value.,http://review.sonyericsson.net/#/c/1103776
,The Phone account settings is same as SIP settings,http://review.sonyericsson.net/#/c/1098611
,Fix MMI code crash issue.,http://review.sonyericsson.net/#/c/1093215
,Remove Voicemail from GENERAL tab,http://review.sonyericsson.net/#/c/1093174
,Remove PhoneAccountSettings from SIM1 \u0026 SIM2 tab,http://review.sonyericsson.net/#/c/1093154
,Phone hold button and mute button issue.,http://review.sonyericsson.net/#/c/1091780
11522,FP16210 DSDS Answering machine,http://review.sonyericsson.net/#/c/1085886
,Issue: DSDS call forward notification issue,http://review.sonyericsson.net/#/c/1112347
,Device could not complete the authentication procedure in SingTel's 3G network,http://review.sonyericsson.net/#/c/1115338
,Issue: Pin code request pop up after pin code is locked,http://review.sonyericsson.net/#/c/1113852
,Issue: The item isn't displayed gray when receiving unexpect network error,http://review.sonyericsson.net/#/c/1104912
,Fix SimLock Prompt doesn't show the correct Lock information,http://review.sonyericsson.net/#/c/1212745
,Home icon for 3G \u0026 2G home SPNs should be displayed,http://review.sonyericsson.net/#/c/1172600
,Set the Phone account settings invisible in Colombia CDF,http://review.sonyericsson.net/#/c/1178934
,Modify the wrong note Ñ¢çFail on FDN CheckÑ¢ù pops up,http://review.sonyericsson.net/#/c/1169227
PID9840,Bring up PID9840 to Cosmos MR1,http://review.sonyericsson.net/#/c/1264223
PID9224,Bring up PID9224 to Cosmos MR1,http://review.sonyericsson.net/#/c/1263947
PID010932,Bring up PID010932 to Cosmos MR1,http://review.sonyericsson.net/#/c/1262777
9160,Fix wrong action bar theme issue,http://review.sonyericsson.net/#/c/1262818
,Fix L-MR1 bring up issue,http://review.sonyericsson.net/#/c/1262764
,"[FP18740] Add ""Allow voice roaming"" policy.",http://review.sonyericsson.net/#/c/1261944
,MR1 bring up for platform/packages/services/Telecomm,http://review.sonyericsson.net/#/c/1261042
,Add MTK patch ALPS02068990,http://review.sonyericsson.net/#/c/1224616
,Call forwarding icon size is not correct,http://review.sonyericsson.net/#/c/1243723
,"Search mode displays ""Automatic"" and then ""Manual"" during network search",http://review.sonyericsson.net/#/c/1242710
,RuntimeException in com.android.phone,http://review.sonyericsson.net/#/c/1241902
,Add MTK patch ALPS02068990,http://review.sonyericsson.net/#/c/1223952
,Disable LTE for AU operator under 5 cases.,http://review.sonyericsson.net/#/c/1221913
,phone number changed to Unknown in Call Log.,http://review.sonyericsson.net/#/c/1212369
,"Revert ""phone number changed to Unknown in calllog""",http://review.sonyericsson.net/#/c/1212416
,SIM2 FDN contact list activity back to SIM1 FDN settings by action bar,http://review.sonyericsson.net/#/c/1183020
,Phone PIN2 box will pop up issue,http://review.sonyericsson.net/#/c/1181802
,Action bar test color should be white,http://review.sonyericsson.net/#/c/1181929
,No contacts display on the FdnList,http://review.sonyericsson.net/#/c/1179031
,Modification for PhoneGlobals,http://review.sonyericsson.net/#/c/1166456
,Remove VideoCallFragment because not support,http://review.sonyericsson.net/#/c/1297623
,Avoid null ponit exception in AnswerPresenter regarding getUi,http://review.sonyericsson.net/#/c/1279158
,Remove VideoCallFragment because not support,http://review.sonyericsson.net/#/c/1299045
9206,No indication for long name truncation in calling UI,http://review.sonyericsson.net/#/c/1293593
,Fix InCallUI OOM issue,http://review.sonyericsson.net/#/c/1287274
9224,Update save button for AM settings,http://review.sonyericsson.net/#/c/1278995
,Modify the dialer default package name,http://review.sonyericsson.net/#/c/1287243
,Fix not able to enter answering machine UI,http://review.sonyericsson.net/#/c/1281116
,Dialed number is changed after call establishment,http://review.sonyericsson.net/#/c/1272537
,Wrong sim settings are shown when Data roaming is off notification,http://review.sonyericsson.net/#/c/1270538
9194,Change the name from telecomm to telecom,http://review.sonyericsson.net/#/c/1077988
9224,FP14556 Answering machine,http://review.sonyericsson.net/#/c/1068063
9194,Add Interface to get config from Telecomm,http://review.sonyericsson.net/#/c/1065553
9194,Notify extra parameters to telecomm,http://review.sonyericsson.net/#/c/1063790
,update data traffic notification when data sub change,http://review.sonyericsson.net/#/c/1285617
9194,Add interface of Telephony for Somc,http://review.sonyericsson.net/#/c/1055347
,Enable the Supplementary services notifications function,http://review.sonyericsson.net/#/c/1288561
,FIX for GSMA TS27,http://review.sonyericsson.net/#/c/1285311
PID005946,Disable VoLTE,http://review.sonyericsson.net/#/c/1279097
,Fix can not enter into APN,http://review.sonyericsson.net/#/c/1275829
,FP19676 cosmos MR1 adaption,http://review.sonyericsson.net/#/c/1273651
PID008829,Bring up PID008829 to cosmos MR1,http://review.sonyericsson.net/#/c/1271242
9209,Fix PIN input keyboard is show on emergency call UI,http://review.sonyericsson.net/#/c/1271241
PID012802,Bring up PID012802 to cosmos MR1,http://review.sonyericsson.net/#/c/1270627
PID009224,Bring up PID009224,http://review.sonyericsson.net/#/c/1270475
PID011524,Bring up PID011524 to cosmos MR1,http://review.sonyericsson.net/#/c/1270238
PID009160,Bring up PID009160 to cosmos MR1,http://review.sonyericsson.net/#/c/1269368
PID012444,Bring up PID012444 to cosmos MR1,http://review.sonyericsson.net/#/c/1269277
PID008531,Bring up PID008531 to cosmos MR1,http://review.sonyericsson.net/#/c/1269245
PID010932,Bring up PID010932 to cosmos MR1,http://review.sonyericsson.net/#/c/1269197
PID010960,Bring up PID010960 to cosmos MR1,http://review.sonyericsson.net/#/c/1268470
PID008416,Bring up PID008416 to cosmos MR1,http://review.sonyericsson.net/#/c/1268429
,Add new api which check if the voice service is STATE_IN_SERVICE It can acquire service state in the guest user process.,http://review.sonyericsson.net/#/c/1268319
,Cosmos MR1 bring up,http://review.sonyericsson.net/#/c/1267521
,Remove MTK original translation,http://review.sonyericsson.net/#/c/1096795
11525,DSDS: data connection state change event DS adaption,http://review.sonyericsson.net/#/c/1166430
,Wrong phone sub CF notification icon shown,http://review.sonyericsson.net/#/c/1165109
,SS notification is not displayed during MO Voice Call,http://review.sonyericsson.net/#/c/1163416
,Phone account icon issue,http://review.sonyericsson.net/#/c/1161816
,Type PIN2 screen doesn't appear when edit the contact number,http://review.sonyericsson.net/#/c/1161712
,Data roaming settings of non data traffic SIM card should be gray out,http://review.sonyericsson.net/#/c/1161732
,Wrong max length of phone number in FDN list.,http://review.sonyericsson.net/#/c/1144052
,"Wrong toast popup when click ""Activate fixed dialing"" in call settings",http://review.sonyericsson.net/#/c/1143567
12259,Enable debug log of TeleService,http://review.sonyericsson.net/#/c/1142749
12150,Strings for Conference URI setting,http://review.sonyericsson.net/#/c/1142649
10972,Answering machine was missing from Search in Settings,http://review.sonyericsson.net/#/c/1142638
10860,Gray out dependent menu in call blocking settings,http://review.sonyericsson.net/#/c/1125690
11523,DSDS: voicemail in call log dsds adaption,http://review.sonyericsson.net/#/c/1101309
9160,Update launcher SIP icon,http://review.sonyericsson.net/#/c/1090067
9160,Update the application icon for Telecom,http://review.sonyericsson.net/#/c/1088685
,MTK MP has add the interface to disconnect all the call,http://review.sonyericsson.net/#/c/1093091
,Emergency call display in call log when make a emergency call.,http://review.sonyericsson.net/#/c/1098484
11522,FP16210 DSDS Answering Machine,http://review.sonyericsson.net/#/c/1087002
PID11522,Adaption for PID11522,http://review.sonyericsson.net/#/c/1271633
PID11889,Adaption for PID11889,http://review.sonyericsson.net/#/c/1271618
8529,Telecom app crash when make outgoing calls in guest mode.,http://review.sonyericsson.net/#/c/1267507
4384,Volume index is incorrect When reseting to normal from vibrate mode,http://review.sonyericsson.net/#/c/1265171
PID9223,Bring up PID9223 to Cosmos MR1,http://review.sonyericsson.net/#/c/1265136
9720,Bring up PID9720 to Cosmos MR1,http://review.sonyericsson.net/#/c/1265111
PID11336,Bring up PID11336 to Cosmos MR1,http://review.sonyericsson.net/#/c/1264966
PID11522,Bring up PID11522 to Cosmos MR1,http://review.sonyericsson.net/#/c/1264306
12009,Incoming call is ended when hang up Active call.,http://review.sonyericsson.net/#/c/1264285
,Display SIM1 icon when switch sixth call and conference call,http://review.sonyericsson.net/#/c/1195003
10246,Show on hold notification for voice calls,http://review.sonyericsson.net/#/c/1179314
,Conference Call UI adjustment,http://review.sonyericsson.net/#/c/1180340
,Ongoing call flash in status bar after pressing power key twice,http://review.sonyericsson.net/#/c/1178493
10932,Fix the indication of UX review,http://review.sonyericsson.net/#/c/1159785
,Reset the connection pending flag when bluetooth is disconnected,http://review.sonyericsson.net/#/c/1212632
10246,Include held/resumed SS notification,http://review.sonyericsson.net/#/c/1184170
,The total call time in Service tests always displays wrong,http://review.sonyericsson.net/#/c/1183458
,Include held/resumed SS notification,http://review.sonyericsson.net/#/c/1180645
,The string/label Ñ¢çAttempts remainingÑ¢ù shouldn't displayed,http://review.sonyericsson.net/#/c/1191280
11525,DSDS: Data traffic state is wrong after click QS button,http://review.sonyericsson.net/#/c/1169829
,Merge remote-tracking branch 'remotes/origin/odm/arima/android/l-chambal-cosmos-somc' into rebaseMain,http://review.sonyericsson.net/#/c/1106924
8959,Emergency number with CLIR code can't be dialed when no SIM card.,http://review.sonyericsson.net/#/c/1096943
9223,Reject call with message,http://review.sonyericsson.net/#/c/1067404
4384,Increasing Ringtone,http://review.sonyericsson.net/#/c/1088563
8529,FP11711 Supplementary Request for Taiwan Emergency Call,http://review.sonyericsson.net/#/c/1078620
9194,Change the name from telecomm to telecom,http://review.sonyericsson.net/#/c/1078822
9224,Pop up 'Unfortunately Phone has stopped' and take a bugreport,http://review.sonyericsson.net/#/c/1071313
11205,FP20672 Multi user functionality on telephony devices,http://review.sonyericsson.net/#/c/1074041
9224,Fix issues of outgoing call during the AM working,http://review.sonyericsson.net/#/c/1074029
9986,Update AM setting UI according to Spec in w1447.1,http://review.sonyericsson.net/#/c/1074062
9986,FP18550 Change the mode to non-support speaker when device is Tablet,http://review.sonyericsson.net/#/c/1072217
9224,Outgoing call doesn't work if the answering machine is enabled,http://review.sonyericsson.net/#/c/1072223
9194,Enable the permission check function,http://review.sonyericsson.net/#/c/1072213
10211,The DTMF key information was output to logcat log,http://review.sonyericsson.net/#/c/1071303
9064,DTMF tones cannot be sent to the participants of the conference call,http://review.sonyericsson.net/#/c/1067818
9226,Make it possible to run monkey on Telecom app,http://review.sonyericsson.net/#/c/1067822
9221,Add the waiting call screen,http://review.sonyericsson.net/#/c/1067258
9160,Change theme in Call Settings,http://review.sonyericsson.net/#/c/1067251
8998,Added dialer_default_package resource,http://review.sonyericsson.net/#/c/1067241
9194,Add Interface to get config from Telecomm,http://review.sonyericsson.net/#/c/1065659
9194,Implement interface to gets a phone type,http://review.sonyericsson.net/#/c/1065393
9194,Notify extra parameters to telecomm,http://review.sonyericsson.net/#/c/1065362
9194,Add interface of Telephony for Somc,http://review.sonyericsson.net/#/c/1063609
8499,Somc Notification Adaption,http://review.sonyericsson.net/#/c/1061627
,"Revert ""Add user permission for InCallUI""",http://review.sonyericsson.net/#/c/1278190
,Add user permission for InCallUI,http://review.sonyericsson.net/#/c/1276839
,Check whether it is Conference call,http://review.sonyericsson.net/#/c/1250570
9842,Hiding interaction buttons when Otp lock is active,http://review.sonyericsson.net/#/c/1228448
,Check whether query map has id before get this id,http://review.sonyericsson.net/#/c/1198374
,If user did not modify SIM name using SIM1SIM2 instead.,http://review.sonyericsson.net/#/c/1174106
,If incall is full screen cancel in call notification,http://review.sonyericsson.net/#/c/1171500
,Keep same color with incall for am,http://review.sonyericsson.net/#/c/1145141
,Add phone number when judge same call,http://review.sonyericsson.net/#/c/1303871
,Disconnect the WaitingForAccountCall when incoming call,http://review.sonyericsson.net/#/c/1288542
,FP19777 Hutchison HD Voice Indicator,http://review.sonyericsson.net/#/c/1278357
,Modify select phone account layout name,http://review.sonyericsson.net/#/c/1278208
,Add user permission for InCallUI,http://review.sonyericsson.net/#/c/1278207
,solve compile error,http://review.sonyericsson.net/#/c/1270195
,MR1 bring up for platform/packages/apps/InCallUI,http://review.sonyericsson.net/#/c/1268194
,Enable the Supplementary services notifications function,http://review.sonyericsson.net/#/c/1250264
,Avoid Async for multi-threads,http://review.sonyericsson.net/#/c/1239134
9842,Support of OTP call admin in telephony service,http://review.sonyericsson.net/#/c/1072003
